alletar;explotacio;nom;genere;pare;mare;quadra;cod;num_serie;dob;estado;part;GenereT;EstadoT
1;LA CASANOVA;20-5;F;Faus;69;;815;ES07090495;01/04/2019;ok;11/09/2023;F;OK
1;LA CASANOVA;20-5;F;Faus;69;;815;ES07090495;01/04/2019;ok;08/11/2024;M;OK
1;LA CASANOVA;19-1;F;K-8;Polit;;5462;Es00090498;01/11/2018;ok;21/04/2022;M;OK
1;LA CASANOVA;19-1;F;K-8;Polit;;5462;Es00090498;01/11/2018;ok;17/07/2023;F;OK
1;LA CASANOVA;19-1;F;K-8;Polit;;5462;Es00090498;01/11/2018;ok;28/10/2024;M;OK
1;LA CASANOVA;19-6;F;K-5;Escuat;;5606;Es06090498;01/12/2018;ok;09/01/2022;F;OK
1;LA CASANOVA;19-6;F;K-5;Escuat;;5606;Es06090498;01/12/2018;ok;20/01/2023;M;OK
1;LA CASANOVA;19-6;F;K-5;Escuat;;5606;Es06090498;01/12/2018;ok;11/10/2024;M;OK
1;LA CASANOVA;19-21;F;Xero;11-1;;4813;ES07090494;01/03/2019;ok;26/12/2021;M;OK
1;LA CASANOVA;19-21;F;Xero;11-1;;4813;ES07090494;01/03/2019;ok;28/04/2023;F;OK
1;LA CASANOVA;19-21;F;Xero;11-1;;4813;ES07090494;01/03/2019;ok;16/03/2024;M;OK
1;LA CASANOVA;19-21;F;Xero;11-1;;4813;ES07090494;01/03/2019;ok;22/02/2025;F;OK
1;LA CASANOVA;19-12;F;Faus;R-12;;6878;ES04090498;01/02/2019;ok;19/09/2022;M;OK
1;LA CASANOVA;19-12;F;Faus;R-12;;6878;ES04090498;01/02/2019;ok;13/09/2023;M;OK
1;LA CASANOVA;19-12;F;Faus;R-12;;6878;ES04090498;01/02/2019;ok;12/09/2024;M;OK
1;LA CASANOVA;20-1;F;Colom;H-62;;5126;ES00090494;01/05/2019;ok;23/09/2022;F;OK
1;LA CASANOVA;20-1;F;Colom;H-62;;5126;ES00090494;01/05/2019;ok;25/10/2023;M;OK
1;LA CASANOVA;20-1;F;Colom;H-62;;5126;ES00090494;01/05/2019;ok;06/01/2025;M;OK
1;LA CASANOVA;20-2;F;Faus;64;;813;ES05090495;01/04/2019;ok;24/12/2021;M;OK
1;LA CASANOVA;20-2;F;Faus;64;;813;ES05090495;01/04/2019;ok;30/12/2022;M;OK
1;LA CASANOVA;20-2;F;Faus;64;;813;ES05090495;01/04/2019;ok;23/11/2023;M;OK
1;LA CASANOVA;20-2;F;Faus;64;;813;ES05090495;01/04/2019;ok;11/11/2024;F;OK
1;LA CASANOVA;19-15;F;Xero;11-5;;4814;ES08090494;01/03/2019;ok;20/12/2021;M;DEF
1;LA CASANOVA;19-15;F;Xero;11-5;;4814;ES08090494;01/03/2019;ok;24/11/2022;M;OK
1;LA CASANOVA;19-15;F;Xero;11-5;;4814;ES08090494;01/03/2019;ok;18/12/2023;M;OK
1;LA CASANOVA;19-15;F;Xero;11-5;;4814;ES08090494;01/03/2019;ok;20/12/2024;F;OK
1;LA CASANOVA;19-13;F;Xero;T-14;;5787;ES07090498;01/02/2019;ok;24/11/2021;M;OK
1;LA CASANOVA;19-13;F;Xero;T-14;;5787;ES07090498;01/02/2019;ok;17/12/2022;M;OK
1;LA CASANOVA;19-13;F;Xero;T-14;;5787;ES07090498;01/02/2019;ok;02/11/2023;F;OK
1;LA CASANOVA;19-13;F;Xero;T-14;;5787;ES07090498;01/02/2019;ok;10/10/2024;F;OK
1;LA CASANOVA;19-5;F;Escuat;262;;5604;Es04090498;01/11/2019;ok;16/11/2021;M;OK
1;LA CASANOVA;19-5;F;Escuat;262;;5604;Es04090498;01/11/2019;ok;28/12/2022;M;OK
1;LA CASANOVA;19-5;F;Escuat;262;;5604;Es04090498;01/11/2019;ok;07/01/2024;M;OK
1;LA CASANOVA;19-5;F;Escuat;262;;5604;Es04090498;01/11/2019;ok;03/04/2025;F;OK
1;LA CASANOVA;19-4;F;G-21;Farré;;5596;Es09090498;01/12/2018;ok;04/01/2022;F;OK
1;LA CASANOVA;19-4;F;G-21;Farré;;5596;Es09090498;01/12/2018;ok;06/01/2023;M;OK
1;LA CASANOVA;19-4;F;G-21;Farré;;5596;Es09090498;01/12/2018;ok;19/02/2024;M;OK
1;LA CASANOVA;19-4;F;G-21;Farré;;5596;Es09090498;01/12/2018;ok;06/03/2025;F;OK
1;LA CASANOVA;19-22;F;Xero;11-1;;4812;ES06090494;01/03/2019;ok;03/02/2022;M;OK
1;LA CASANOVA;19-22;F;Xero;11-1;;4812;ES06090494;01/03/2019;ok;26/12/2022;F;OK
1;LA CASANOVA;19-22;F;Xero;11-1;;4812;ES06090494;01/03/2019;ok;07/12/2023;M;OK
1;LA CASANOVA;19-22;F;Xero;11-1;;4812;ES06090494;01/03/2019;ok;15/01/2025;M;OK
1;LA CASANOVA;19-19;F;Xero;221;;4809;ES04090494;01/03/2019;ok;05/02/2022;F;OK
1;LA CASANOVA;19-19;F;Xero;221;;4809;ES04090494;01/03/2019;ok;22/02/2023;M;DEF
1;LA CASANOVA;19-19;F;Xero;221;;4809;ES04090494;01/03/2019;ok;28/01/2024;F;OK
1;LA CASANOVA;19-19;F;Xero;221;;4809;ES04090494;01/03/2019;ok;28/03/2025;F;OK
1;LA CASANOVA;20-56;F;Escuat;i-14;;9421;ES00090508;22/07/2020;ok;04/05/2023;F;OK
1;LA CASANOVA;20-56;F;Escuat;i-14;;9421;ES00090508;22/07/2020;ok;04/05/2023;M;OK
1;LA CASANOVA;20-56;F;Escuat;i-14;;9421;ES00090508;22/07/2020;ok;23/04/2024;F;OK
1;LA CASANOVA;20-56;F;Escuat;i-14;;9421;ES00090508;22/07/2020;ok;30/03/2025;M;OK
1;LA CASANOVA;20-57;F;Colom;H-62;;84;ES08090509;07/07/2020;ok;19/07/2023;F;OK
1;LA CASANOVA;20-57;F;Colom;H-62;;84;ES08090509;07/07/2020;ok;30/09/2024;M;OK
1;LA CASANOVA;20-61;F;Colom;5;;4333;ES03090513;23/07/2020;ok;13/05/2023;F;OK
1;LA CASANOVA;20-61;F;Colom;5;;4333;ES03090513;23/07/2020;ok;17/11/2024;F;OK
1;LA CASANOVA;20-65;F;Escuat;K-38;;1810;ES02090509;04/12/2020;ok;30/07/2023;M;OK
1;LA CASANOVA;20-65;F;Escuat;K-38;;1810;ES02090509;04/12/2020;ok;30/12/2024;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;07/02/2017;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;16/05/2018;F;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;12/10/2019;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;31/01/2021;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;29/05/2022;M;OK
0;El Grau;H-74;; Feresta;Polit;;1906;;01/05/2014;ok;31/07/2023;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;17/10/2014;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;10/11/2015;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;01/10/2016;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;01/09/2017;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;30/07/2018;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;28/10/2019;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;09/12/2020;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;19/02/2022;M;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;19/02/2022;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;22/05/2023;F;OK
0;El Grau;59;;;;;8871;;01/10/2013;ok;30/07/2024;F;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;01/04/2020;;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;13/03/2021;M;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;14/05/2023;F;OK
0;El Grau;R-35;;;;Riera;8547;ES05090462;01/03/2017;ok;20/06/2024;F;OK
0;El Grau;K-70;;17;;;9207;ES06090486;01/03/2018;ok;05/03/2020;;OK
0;El Grau;K-70;;17;;;9207;ES06090486;01/03/2018;ok;07/12/2020;M;OK
0;El Grau;K-70;;17;;;9207;ES06090486;01/03/2018;ok;18/04/2022;M;OK
0;El Grau;K-70;;17;;;9207;ES06090486;01/03/2018;ok;29/06/2023;M;OK
0;El Grau;K-70;;17;;;9207;ES06090486;01/03/2018;ok;09/07/2024;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;19/01/2017;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;12/02/2018;M;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;12/02/2018;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;20/03/2019;M;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;09/03/2020;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;17/02/2021;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;28/03/2022;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;08/03/2023;F;OK
0;El Grau;H-75;;Noeta;Cucut;;1816;;01/04/2014;ok;25/06/2024;M;OK
0;El Grau;K-83;;Xero;91;;1328;ES05090484;01/04/2018;ok;23/12/2020;F;OK
0;El Grau;K-83;;Xero;91;;1328;ES05090484;01/04/2018;ok;09/05/2022;F;OK
0;El Grau;K-83;;Xero;91;;1328;ES05090484;01/04/2018;ok;10/07/2023;F;OK
0;El Grau;K-83;;Xero;91;;1328;ES05090484;01/04/2018;ok;18/06/2024;M;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;28/02/2018;;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;17/04/2019;M;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;20/08/2020;F;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;26/11/2021;F;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;11/05/2023;F;OK
0;El Grau;I-13;;F-11;Cucut;;2274;;01/12/2014;ok;08/07/2024;;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;02/12/2014;M;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;15/02/2016;F;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;21/02/2017;F;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;20/03/2018;M;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;27/02/2019;F;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;05/03/2020;M;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;06/05/2021;M;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;19/04/2022;F;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;15/04/2023;M;OK
0;El Grau;T15;;;;;6030;;01/10/2013;ok;15/07/2024;M;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;20/02/2018;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;20/02/2018;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;19/05/2019;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;19/05/2019;M;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;24/05/2020;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;24/05/2020;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;22/12/2021;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;03/07/2023;F;OK
0;El Grau;I-9;;P-23;Polit;;1638;;01/07/2014;ok;07/07/2024;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;08/01/2015;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;01/03/2016;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;22/05/2017;F;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;09/07/2018;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;07/06/2019;F;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;03/09/2020;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;30/08/2021;F;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;20/10/2022;M;OK
0;El Grau;82;;;;;2240;;01/12/2013;ok;24/12/2023;F;OK
0;El Grau;R-34;;;;Riera;6149;ES00090476;01/03/2017;ok;23/12/2019;;OK
0;El Grau;R-34;;;;Riera;6149;ES00090476;01/03/2017;ok;15/01/2021;F;OK
0;El Grau;R-34;;;;Riera;6149;ES00090476;01/03/2017;ok;04/04/2022;M;OK
0;El Grau;R-34;;;;Riera;6149;ES00090476;01/03/2017;ok;21/04/2023;F;OK
0;El Grau;R-34;;;;Riera;6149;ES00090476;01/03/2017;ok;19/04/2024;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;30/10/2014;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;04/11/2015;M;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;21/11/2016;M;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;08/11/2017;M;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;11/10/2018;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;01/12/2019;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;26/11/2020;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;30/03/2022;F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;18/03/2023;F&F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;18/03/2023;F&F;OK
0;El Grau;T-9;;;;;6019;;01/10/2013;ok;20/04/2024;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;26/12/2014;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;03/02/2016;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;26/01/2018;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;06/03/2019;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;16/03/2020;F;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;25/02/2021;F;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;11/04/2022;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;16/04/2023;M;OK
0;El Grau;T-8;;;;;6032;;01/12/2013;ok;08/04/2024;F;OK
0;El Grau;K-25;;B-6;Cucut;;7793;ES05090462;01/07/2016;ok;31/03/2019;F;OK
0;El Grau;K-25;;B-6;Cucut;;7793;ES05090462;01/07/2016;ok;30/05/2020;M;OK
0;El Grau;K-25;;B-6;Cucut;;7793;ES05090462;01/07/2016;ok;13/07/2021;F;OK
0;El Grau;K-25;;B-6;Cucut;;7793;ES05090462;01/07/2016;ok;23/10/2022;M;OK
0;El Grau;K-25;;B-6;Cucut;;7793;ES05090462;01/07/2016;ok;18/10/2023;M;OK
0;El Grau;1 DOS;M;E-4;Polit;;5135;ES05090486;14/06/2017;ok;;;OK
0;El Grau;K-88;;Xero;11-5;;1326;ES03090484;01/03/2018;ok;15/01/2021;F;OK
0;El Grau;K-88;;Xero;11-5;;1326;ES03090484;01/03/2018;ok;18/05/2022;M;OK
0;El Grau;K-88;;Xero;11-5;;1326;ES03090484;01/03/2018;ok;25/08/2023;F;OK
0;El Grau;K-88;;Xero;11-5;;1326;ES03090484;01/03/2018;ok;29/07/2024;M;OK
0;El Grau;21-8;;Marques;H-71;;9795;ES00090537;09/02/2021;ok;05/03/2024;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;17/05/2015;M;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;07/06/2016;M;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;19/07/2017;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;02/07/2018;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;24/10/2019;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;03/12/2020;M;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;01/03/2022;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;19/02/2023;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;20/02/2024;F;OK
1;El Grau;R-26.;;;;;756;;01/01/2014;ok;25/01/2025;F;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;05/10/2017;FDEF;DEF
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;25/02/2019;M;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;04/02/2020;M;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;03/02/2021;F;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;24/02/2022;M;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;31/01/2023;M;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;14/01/2024;M;OK
1;El Grau;I-7;;E-5;Aran;;1827;;01/09/2014;ok;16/01/2025;F;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;17/01/2015;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;17/02/2016;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;08/03/2017;F;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;12/02/2018;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;11/03/2019;F;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;21/03/2020;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;02/03/2021;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;12/04/2022;F;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;08/03/2023;F;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;26/01/2024;M;OK
1;El Grau;R-20.;;;;;2876;;01/01/2014;ok;27/03/2025;F;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;20/02/2019;F;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;27/10/2020;M;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;30/03/2022;F;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;28/03/2023;M;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;11/03/2024;F;OK
1;El Grau;K-3;;F-9;cucut;;5275;ES04090476;01/03/2016;ok;15/03/2025;F;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;21/03/2019;M;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;18/03/2020;F;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;07/04/2021;F;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;14/04/2022;M;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;04/03/2023;M;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;04/03/2023;M;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;16/01/2024;M;OK
1;El Grau;K-23;;Bragueta;Polit;;8201;ES08090476;01/06/2016;ok;24/01/2025;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;09/12/2014;F;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;01/03/2016;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;04/03/2017;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;24/01/2018;F;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;30/12/2018;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;14/03/2020;;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;07/06/2021;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;24/10/2022;M;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;25/11/2023;F;OK
1;El Grau;53;;;;;8868;;01/11/2013;ok;25/03/2025;F;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;05/03/2020;;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;20/12/2020;M;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;24/03/2022;M;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;29/03/2023;M;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;19/03/2024;F;OK
1;El Grau;K-69;;H36;Faus;;6318;ES03090486;01/02/2018;ok;21/02/2025;M;OK
